essay_id	essay_set	essay	essay_score	Foreign languages	Genre	Months of PT	Mother tongue	Nationality	Number of words	Topic	Type of text
zh064CVETD	Last vacations	"No mês passado, eu fui à a Évora com os meu colegas para viajar. Foi um dia agradável e nós fomos muito feliz porque Évora é um lugar muito bonito e tem muitas histórias.
Nós saímos de Lisboa muito cedo e apanhámos o comboio para lá. Demorou mais or menos duas horas para chegar à a Évora. Durante estas horas, nós vimos paisagens lindas e conversáram com uns com aos outros. Por isso, não fomos infelizes para nada.
Quando chegámos à Évora, nós visitámos igrejas, jardimns, alguns lugares muitos antigos. Eu gostei muito desses lugares e conhecei mais que Portugal é um pais pequeno mas ""grande"" para na história. Para mim, eu desejo (quero) visitar mais cidades e campos mais tarde e conhecer mais este pais bonito.
"	2	English	recount	6	Chinese	Chinese	123	Travel	DT
it007CAMTD	The labour market situation in the country of the informant	"Como em todos os países do mundo hodierno actual, também no meu, na em Itaália, hoje é muito diffícil  que uma pessoa arranje qualquer tipo de trabalho. Por exemplo os meus amigos que acabaram mais ou menos hàá um ano a um de tirar uma licenciatura qualquer  em na universidade, acabam de ficar em casa por um periíodo meio-cuomprido enviando curriícoulos na pela net às empresas à espera duma resposta. Além disso, é ainda mais seério o problema das pessoas que têm famiília e que foram ficaram desempregadoas. Por Para eles, a procura dum trabalho é mais do que por para os meus amigos dado que àas empresas já não precisam de pessoas máas, se fossem à procura, escolheriam os jovens. Na situação deste tipo, é visiível a todos nós a caida queda das ideias do ""self mademan"" e, com esta, a do Ddeus-dinheiro (o homem engana- se se acha que é a economia e o dinheiro que fazem tornar tornà-lo o tornam felize).
Creio que a uúníica maneira para sair desta crise é que todos nós retomaemos conciência do valor do homem, que tem a sua dignidade também num trabalho financialeiro. Tudo isto está ligado àquilo que disse o Papa Bento XVI sobre a converçsão, o seja, que cada um de nós, embora não sejamos apanhados da pela crise, se torne responsável.
Ser responsável significa começar a poupar na vida de todos os dias e partilhar com os outros aquilo que já temos.
"	3	_	informative	2	Italian	Italian	230	Society economy and politics	DT
es086CAMTI4	To which artistic movement does this piece of art belong?	"O Cravo Vermelho tornou-se no simbolo nada revolução  25 de abril porque foi o objeto que todos tinham ono dia odo Golpe de Estado aà ditadura del ""Salazar""

Em 1933,  Antonio de Oliveira Salazar inicioiniciou uma ditadura que liderou com a ""PIDE"", a Policia que censuraou e cuidaou odo Estado dea opinião do Povo.

Forças militares já em contra dasas políticas deo Estado, fizeram uma reunião do povo com doisduas canções que se ouviamouviram no ráddio e  informavam metaforicamente que o dia 25 de abril de 1974 eles tomariam o poder com oum golpe de Estado.

Então, ono dia 25 de abril chegou e depois de ouvir ""... depois do Adeus"" e ""Grândola, vila Morena"" na radio as forças militares e o povo saíram nasàs ruas com cravos vermelhos emnas suas espiragasespingardas como símbolo de paz em o no golpe de Estado.

Finalmente, oa 25 de abril de 1974 a ditadura terminou com o Golpe de Estado liderado por as pelas forças armadas e um povo cansado de as politicas dae ditadura.
"	3	English,Portuguese	_	_	Spanish	Spanish	163	Culture and philosophy	IT
es032CVMTD	The labour market situation in the country of the informant	"A situação laboral na Espanha, como a situãação em Portugal e em na Grécia, é muito preocupante.
O emprego descendeu diminuiu nos últimos anos especialmente no sector da construcção. O partido político que tivemos, os espanhoëis, de 1996 até 2004 deu prioridade a sectores econóoómicos que não foram estables estáveis ou não tiveram uma continuidade. Deram dinheiro e riqueçza rápida mas no os poliíticos não estiveram preocupados na poupança eou organização dessa riquezçza económica.
As pessoas tinham trabalho temporal   mas gastavam com se tiveramtivessem trabalho fixo, e foram acostumadoas a uma vida económica irreal. A situação não deu certo e o sit sistema foi insostenível insustentável. As pessoas perderam os seus trabalhos muito cedo, mas os bancos pagamentos mensuais ainda estavam alíi. Muitas pessoas não puderam pagar aos bancos e a quebra vieu veio.
O que aconteceu então é que amuitas pessoas não puderam fazer frente aos pagamentos porque não tinham trabalho e também naão achavam encontravam nenhum. E a situação a vieu veio a ser uma quebra da economia.
Num período de crise a matnutenção dos postos de trabalho para todos é não é sostenível possível e sempre pagamos os que menos temos. O Governo deu dinhero público aos bancos, mas as pessoas que pagamos aos bancos com o dinheiro deos nossos impostos, fomos ignorados e descriminados..
É por isso que neste sistema político, como o capitalismo, os ricos sempre serão ricos, e os pobres, pobres.
Afortunadamente Felizmente, na Espanha o sector turiístico é forte e importante e tentamos sair da crise com os benefiícios que temos das praias e o turismo de verão. En geral o paiís tudo oferece, lugares lindos onde passar as férias. É nesosssas pontos turísticos onde mais aumentou o emprego nestes últimos anos: Alicante, Benidorm, Barcelona, Málaga... mais noutras aregiões do interior encerraram muitas empresas.
Acho que precisamos doutro sistema económico no mundo. Um sistema mais sostenível e seguro, embora que não déê tanto dinheiro e tão rápido.
"	3	Catalan	informative	12	Spanish	Spanish	297	Society economy and politics	DT
ko002CAMTF	Letter to City Council suggesting activities for tourists so they could feel comfortable and welcome in Lisbon	"Lisboa, 26 de Maio de 2011
Exmo(s) Senhor(es)
O meu nome é FFLL, sou uma cidadã da Coreia do Sul.
Eu estou em Portugal há 3 anos e meiao. Portugal é um país maravilhoso, as pessoas são muito simpáticas e a história e a cultura são muito interessantes. Embora eu goste muito de Portugal, eu descobri que, às vezes, ser estrangeiro em Portugal pode ser  um grande desafio. Por isso, eu queria dar algunsmas sugestões para os estrangeiros se sentirem melhor na capital do país.
A dificuldade que muitos estrangeiros têm é comunicar com o SEF. Como muitos estrangeiros não falem a língua portuguesa, acho que é fundamental que os trabalhadores do SEF falem Inglês. Por isso, eu queria sugerir que deem algunsmas formaçaões de Inglês aos trabalhadores do SEF. O SEF é como umo porta-voz de Portugal para os estrangeiros. É importante que os estrangeiros tenheam uma boa imagem do SEF para terem uma boa imagem de Portugal.
Para os estrangeiros se sentirem melhor interg integrados no seu país, é importante aprendemrem Português. Embora a língua portuguesa é seja uma doas 5 línguas mais importante do mundo, eu descobri que não há muitos cursos de português para estrangeiros. A língua é fundamental para nós conhecermos melhor a sua cultura e a histor sua histoória. Por isso, eu queria propôor que es criem mais cursos dae língua Portuguêesa para estrangeiros.
Muitos estrangeiros são estão interessados e no Fado e na gastronóomia do seu país. Se criarem mais actividades formações e actividades doe Fado e dae gastronómia, será mais fácil para os estrangeiros os estrangeiros vão aprender  a sua cultura mais facilmente.
Com os  curmprimentos.
FF
"	3	_	formalLetter	10	Korean	Korean	261	Services	FT
ja056CAATF_1	Letter of complaint to a travel agency	" Agencia Imobiliária 
FFLL PP
PP 
Assunto: Compra de um apartamento desagradavel
Exmos. Senhores 
No dia 30 de abril de 2018, comprei um apartamento através da vossa agencia imobiliária. Gostava de comprar um apartamento que seja tranquilo, e um funcionario da vossa empresa mostrou-me um apartamento. Ele garantiu-me que o apartamento teria boa vizinhança e muita tranquilidade, e assegurou que o apartamento tinha sido remodelado e equipado com os melhores materiais disponíveis, por isso, comprei-o e comecei a morar no apartamento há duas semanas. No entanto, as condições sãoforamsão muito diferentes. Em primeiro lugar, os vizinhos fazem a festa todas as noites e oubem a música alta, é muito barulhoso, não é tranquilo. Por causa disso, não posso dormir bem. Em segundo lugar, tenho algumas questões relacionadas com a renovação da casa. Paredes são muito sujos e a janela de casa do banho está partida, e a porta de quarto não abre facilmente. Estas coisas são muito diferente de que o funcionario me disse-me. QueriaResolva os problemas, por favor. Com os melhores cumprimentos,
21 de maio de 2018
FFLL
"	4	_	formal letter	0	Japanese	Japanese	178	Servicies	FT
sv026CAITI1	present yourself	"Boa tarde! Eu sou a FFLL. Eu tenho vinte e quatro anos de idade. Eu sou sueca e eu moro no Prazeres, em Lisboa, em Portugal. 
Eu moro na PP. 
Eu a estudante no Tecnico e sou egenheira. 
Às sete horas eu estudo português no Tecnico. Eu estou a ouvir a professora e eu estou a perguntar dúvidas. A professora a muito simpática. 
Eu sou solteira, sou morena e sou alta. Eu sou normal ou eu sou pequena musculosa. 
Geralmente quatro vezes por semana, eu vou ao ginásio. Eu sou simpática, sou extrovertida e sou muito teimosa. 
Às vezes, eu vou às compras e cozinho o bebo com amigos. A dia seguir, eu sou trista e eu deito-me cedo. 
"	1	English	informative	0	Swedish	Swedish	119	Identification, characterization and description of people and objects	IT
en071CVATF	Is Lisbon in danger because of tourism?	"Acho    que a Lisboa este no mesmo perigo que Veneza. A pesar de Lisboa e Veneza ter terrenas e uma composicão diferente, há edifícias e lugares históricos em ambos os países que são estão dispostos a muito trafico pedonal. Em Lisboa ha um elevador muito antigo, com muita relevância cultural, que esta sempre a operar, levar turistas para acima e para baixo. Se calhar seria uma boa idea controlar ao numero de turistas que querem visitar estes lugares para preservar a integridade das estructuras. E melhor utilizar mais metodos de control, como horarios de visita mais curtas, o aumentar o preço de um bilhete de entrada, e usar esas ganancias para a restauração dos edificios e monumentos culturais. Penso que exista uma oportunidade agora para desenvolver e demarcar otros sitios turisticos que são menos reconhecidos. Em Portugal por exemplo, puderem iniciar  um  circuito  turistico  enfocado  em o turistico comercio tradicional, que pode começar em na Baixa e acabar em Belém. 
"	4	Portuguese,Spanish	opinion	_	English	American	157	Society economy and politics	FT
ja032CASTF1_1	Write a letter to the mayor about the excessive number of tuk-tuk in the city.	"Exmo. Sr. Presidente da Câmara Municipal.
Dirijo-me a V.ª Ex.ª no sentido de me queixar sobre a atual situação vivida na cidade.
Nos últimos tempos, o número de turistas em Lisboa têm aumentado significativamente. Creio que os turistas fazem dão são boas influências na a para a nossa economia e acho bom bem que Lisboa está a esteja a atrair os estrangeiros porque isso ajuda a ela torna-se tornar-se para se torna melhor no sentido de da segurança. Em consequência deste aumento, têm sido instalados alguns equipamentos de lazer, tuk-tuk por exemplo. Queria perguntar uma coisa a V.ª Ex.ª. ""Pensou bem da em quem visita a capital portuguesa. No entanto, considerou da a quem vive lá? Por causa do número exe excessivo de tuk tuk a circular na cidade, há mais trânsitos e mais confusão de estacionamento. Também parece-me me parece perigoso circular na cidade com nos tuk tuk que por não tem terem janelas ?? portas. Por este motivo, solicito a intevenção do serviço da autarquia para a resolução do problema. Espero que eu tiver tenha uma boa resposta de um num prazo curto.
Agradecendo antecipadamente a atenção que V.ª Ex.ª dispensará a este assunto, subscrevo-me com elevada atenção.
22 de Maio de 2018
FFLL
"	5	English	formalLetter	_	Japanese	Japanese	181	Services	FT
zh054CAMTF	Letter of complaint to a travel agency	"Lisboa, 26 de Maio de 2011
Carta registada com aviso de recepção
Assunto: Reclamação contra sobre a viagem de 7 dias para a ilha da Madeira
Exmo. Senhor,
Venho por este meio para apresentar uma reclamação contra sobre o serviço prestado pela vossa agência.
No dia 5 de Maio comprei uma viagem de 7 dias para a ilha da Madeira, de 10 a 17 deo mesmo mês. Antes do pagamento, o vosso funcionário MMLL explicou-me que este pacote incluindo incluía a o transfer do aeroporto para o hotel; a pensão completa; o quarto com vista panorâmica; dois passeios com guia turístico e o acesso gratuito ao SPA. Ficando satisfeita com o preço de 2000 euros e o conteúdo de meu pacote., Aassinei o contrato e paguei. Todavia, a minha viagem foi completamente diferente como do anunciado no nosso contrato.
Primeiramente, eu tinha o direito de ser recebida e levada para o hotel., Fficando no aeroporto até 3 horas à espera depois da minha chegada. Ainda mais, quando cheguei no hotel, o meu quarto nao ainda não estava f pronto e não havia vista panorâmica.
Segundamente Em segundo lugar, como eu fui garantida me garantiram/me foi garantido uma pensão completa, eu não estava a pensar de em pagar para pelas mihas refeições, no entanto, o funcionário do hotel disse-me que o meu pacote não incluira tinha incluiído este consumo, finalmente paguei 200 euros.
Quanto aos passeios com guia turístico e ao acesso gratuito ao spa, o gerente do hotel informou-me que estes serviços estavam temporalmente parados temporariamente encerrados por causa da insuficiência de recursos humanos do hotel. Como é evidente que, não gozei nenhum direito do meu contrato que fui garantida me garantiram! As minhas férias foram destruídas por esta viagem! Para manter a fama da vossa via agência, espero que restitua totalmente o meu pagamento da viagem até ao fim de Junho. Caso contrário, tenciono apresentar uma queixa no Departamento do Consumo.
Aguardando da vossa resposta,
FFLL
Anexo: a cópia do contrato e dos recibos do pagamento
"	3	Mandarin	formalLetter	12	Chinese (Cantonese)	Chinese	314	Services	FT
it067CSITF	Routines of the informant	"Em Lisboa eu levanto-me às sete horas e vou para a universidade de metro. Eu almoço na cantina e todos os dias eu regreso a casa às cinco da tarde. Ao fim-de-semana eu tenho muito tempo livre. Ao saábado de manhã eu costumo ir ao parque perto da minha casa. Alíi eu faço esportedesporto e leio livros por mais de uma hora. Depois eu saio com os meus amigos porpara  uma cerveja e à noite gostamos muito de dançar juntos. Ao domingo eu visito os museus e vou ao cinema.
"	1	English	informative	_	Italian	Italian	89	Daily life	FT
es087CAMTF_2	Polution	"O nosso planeta Terra tem as qualidades e caracteristicas que nienhunm outro planeta tem, aqui há vida. Sabemos que a vida humana, vegetal e animal são o resultado de muitos anos de evolução.

No entanto, atualmente, o nosso planeta estaá a viver um periíodo muito dificil. Hojé, mais que nunca, a vida estaá em perigoperigo. eE todotudo porque o homem ""a maior espeécie"" tem vindo alterando a alterar o equilibrio ambiental.

O nosso desejo e amor pelo ter, fiez-nos esquecer que sem natureza não há vida. A indústria e o grande desenvolvimento tecnológico, traxeramtrouxeram os maiores índices de CO2 na histoória. Já não podemos ocultar os grandes niveis de poluição que temos emno nosso ambiente.

No entanto, hoje, a sociedade já reconhece que precisamos fazer algo raápido e inmediatoimediato. Sabemos que não podemos continuar assim, porém, atualmente, em todo o mundo muitas pessoas reunem-se em forúns, seminarios e eventos para falar desta problemaámatica.

Ainda estamos a tempo de ter consciencia,  que sem natureza não há vida. Não podenpodemos seguir como estamos, já que, um ambiente poluído não é o melhor para nós. O dinheiro poderá comprar muitas coisas, mas comprar um novo planeta é impossivel.
"	3	_	opinion	_	Spanish	Colombian	191	Society economy and politics	FT
es023CVMTF	Letter of complaint to a mobile store	"Boa tarde.
O meu nome é MMLL e escribeievo estáa carta para dar a conhecer o meu caso, ao departamento de atençaão ao chefe da XX. Quando cheguei a Lisboa, phá um tempo atrás, comprei um telemóvel da sua companhia. NOs primeiros dias não tive problema nenhum, já que o telemóvel trabalhava funcionava correctamente. Foi no segundo meês de ter comprado o telemóvel, quando comencei a ter problemas  não só com a rede.
Actualmente moro em PP, perto dao prédio dea XX, e é ainda mais increível que eu não possa ligar a ninguém quando tenho um centro de alta tecnologia por perto, na mesma rua do que onde fica o meu apartamento.
AÀs vezes tinha rede e podia ligar, e as otras vezes não. Estive assim algum tempo, acho que duas semanas com a intençaão, ou melhor dito aliás, com a ideia de que o problema fosse resuelto resolvido. Infelizmente não foi assim.
Além disso, tambénm tenho um problema com o proóprio telemóvel. ÉO aparato aparelho teinhiaa um preço baixo, 30 €, mais achava que a qualidade era suficiente para mandar mensagens escritas.
Sou uma pessoa que precisa doe telemóvel, já que visto que trabalho a recibos verdes e estou sempre estou com atençao às chamadas dos meus clientes.
Esta situaçao está sendo a ser uma tortura chatice para mim, já que pois não posso ligar os meus amigos, não posso enviar mensagens deescritas e também não posso contactar coaos meus clientes.
Neste momento estou a perder a minha vida familiar, sentimental e laboral a minha vida profissional. Por todo eisto acho que é obligatoório para a XX que me ajude a procurar uma soluçaão.
Um novo telemóvel come promoçoões especiais para esa esta nova linha seriam óptimo para tuodos.
Espero a sua resposta pronta breve resposta,. oObrigado pela atençao.
Cumprimentos, MMLL.
"	3	_	formalLetter	1	Spanish	Spanish	277	Services	FT
zh096CAETF	E-mail to obtain more information regarding a job application	"a consulta sobre o recrutamento
Sincero Senhor(a):
Tenho sorte de encontrar a sua empresa e o anúncio impressionou-me muito. Na minha opinião, tenho as qualiadades para o emprego. Agora estou a planear um dia para ir à entrevista, gostaria de saber o horário da entrevista, depois vou preparar a apresentação que precisa. Tambêm queria um catálogo dos documentos para que presica, e o senhor(a) poderia fazer o favor de dizer-me o entemdreço da empresa? Como posso chegar lá? Gostaria de obter mais if informações sobre o emprego, por exemplo, o vencimento mes mensal ou anual e a exprência necessária. Finalmente, espero a sua resposta, muito obrigada e baa boa sorte. cumprimentos,
FF.
"	2	Portuguese	eMail	24	Chinese	Chinese	107	Daily life	FT
zh089CVATF	The more the the means for communicating, the less we have to say to each other	"Desde que se nasceu aparaeceu a tecnologia deas telecomunicaçãoões no mundo, abriu-se uma nova era para na nossa civilização. As comunição comunicações entre pessoas tornam-se muito mais convenientes e fáceis, uma vez que os as os entraves de distância já eram foram conquistadas pela tecnologia e ciência. Não há dúvida de que esta evolução seja é uma grande felicidade para todos os homens. Todavia, a demasiada excessiva dependência humana na ndela já provoca uma  crise na nossa comunicação, civilizacional na nossa sociedade futura:
Hoje em dia Atualmente, em virtude da existência de uma série de programas ""softwares"" de comunicação tal tal com, tais como o MSN, e twiter o Facebook, a vida transforma-se cada vez mais digitalizada. Na pespetiva perspetiva relativamente otimista e futurista, isto não é nada mas mais do que uma exelente fenoómenao que contribui incessantemente para a a elevada condição da vida. No entanto, quando nós contemplamos mais prudentemente, já podemos reparar que iesta nova maneira comunicação de comunicar de comunicação já perdeu o verdadeiro sentido de comunicar, que é falar. Consequentemente, se neste momento, se ainda não comecem começarmos a corrigir, ou seja, melhorar o nosso novo modo de comunicação, ser é será muito possível que a nossa sociedade tonará se torne-se numa colectividade n onde as ligações entre pessoas são apenas fios de electricidade e Wifi, que é mesmo uma tragédia e vergonha na nossa civilizacação.
Em suma, não obstante a telecom nova tecnologia na comunicação nos fornecer ilimitadas vantagens e conveniências, nunca nos podemos esquecer-nos que a verdadeira vida é sempre baseada no estabelecimento em estabelecer ""realmente"" uma relação com outros.
"	4	English	opinion	11	Chinese	Portuguese	227	Technology and communication	FT
es098CSITF_2	Last vacations	"Nas minhas últimas férias eu fui paraa Portugal. Fomos quatro amigos no meu carro. Començaámos a nossa viagem emna GGaliciza, e fomos a descer pelas praias até o Cascais. Chegaámos ao Cascais depois de quinze dias a conduczir. Dormimos em tendas de campismo, e cozinhaámos num ""camping gaás"". Ficamos onde houve boas ondas, e conhecimos muitas pessoas. O tempo esteve muito quente, mas pelasà noites esteve  fez frio, pelo que dormi com casaco quasie sempre. Todos os dias acordaámos muito cedo, para poder surfar sem mais outras pessoas. Foram umas muito boas férias muito boas
"	1	English,Portuguese	recount	_	Spanish	Spanish	91	Travel	FT
ja052CAMTI3	Study visit	" Na semana passada, nós fomos até perto de Cais do Sodre e passeamos ao longo da costa. Eu vi a medusa vivo pela primeira vez. E depois, fomos à Praça do Comércio. A FF comprou as castanhas na rua e deu-a para mim. Era muito boa. No Japão, as castanhas não são vendidas nas ruas sempre, por isso acho que é interessante. 
Além disso, passeamos na baixa e chegamos perto da estação de Martim Monis. Nesta área, tem muitas lojasadministradas pelos imigrantes, por isso acho que parece um pouco diferente da outra área de Lisboa e sinto que a segurança pública não é muito boa. 
Depois da aula, eu e a FF fomos ao supermercado asiático e compramos os alimentos japoneses. Tinha muitos produtos japoneses, por isso tinha saudades deles um pouco. 
"	3	English	recount	32	Japanese	Japanese	132	Free time and entertainment	IT
it051CSITF_1	Recount yesterday	"Ontem me acordei áàs 9:30 e esperei cinco minut um pouco antemantes de levantar-me. Depois tomei o pequeno almoço mais cedo dos do que nos outros dias. porque A seguir tomei duche e preparei-me para ir áà universidade. Apanhei o metro e chegei ao teécnico áàs 10:00. Quando fuicheguei a lá, encontrei duas amigas para e fomos estudar juntas. Estudei até ao almoço e depois almoçcei cedo no café do teécnico porque a aula ao fui áàs aulas da tarde e só áàs 19:00 regressei para casa. De Estive muito cansada e jantei cedo.
Mais tarde estudei um pouco mais  até que o MM foi aao meu quarto para falar do dia dele. Foi uma conversaçao muito divertida, porque o dia dele foi muito cheio. Finalmente deitei-me ásà meia noite.
"	1	English,Portuguese	recount	_	Italian	Italian	112	Daily life	FT
ru004CVMTD	Letter to a friend about beach vacations	"Querido Nuno,
Tenho muitas saudades contigo tuas. Estou a passar férias na praia com a minha famiília. É Está muito calor agora, por que porque estamos na praia todos os dias. A praia é bonita e muita gente chegam àaqui para  férias. Tem grande espaço da areia. Mais longe da praia são as rochas onde vamos caminhar amanhã. confuso O ceu é se está sempre limpo e é preciso ter cuidado com o sol. Quase todos os dias podemos nadar. Eu nado não sei nadar bem, mas gosto dea aágua fria. Realmente faz bem neste tempo. Perto da praia há uma cidade pequena, àaonde vamos jantar. Tem boans restaurantes que servem peixe. As noites aqui são agradaáveis. Não há barulho, o ar é mai está fresco e o cheiro do mar está é maravilhoso. Gosto imenso de passar férias neste lugar. Só tenho saudades com dos meus amigos.
Adeus, muitos beijinhos
Joana.
"	3	Polish	personalLetter	12	Russian	Ukrainian	141	Travel	DT
zh050CAATF_2	National governments' struggle against AIDS	"A Acção dos Governos Nacionais Faz Parte Importante no Combate contra a SIDA
Pode-se dizer que é impossível vencermos no combate contra a SIDA sem a acção eficaz dos Governos nacionais. Evidentemente, o combate a que dedicamos a alma e o corpo é composto pelas duas partes indispensáveis, a prevenção e o tratamento. Ambas necessitam absolutamente dos esforços dos Governos Nacionais.
Apesar de que existam existirem, no momento actual, várias instituições que tratam de promover os programas de prevenção, esperando tomar o controlo da evolução desta doença mortal através de educar a população, a força dos Governos nacionais é imc incomparável. Se os governos se responsabilizarem por divulgar fazer propaganda, organizar as cam campanhas relativas e divulgar os conhecimentos, a situação será bem completamente diferente. Ningueém pode negar que os governos têm vocação de chamar a atenção e estimular acordar a consciência do povo em qualquer momento, e são capazes de estimular a assistência social, fazendo com que a população enfrente a importância de melhorar a actualidade a sério.
Quanto ao tratamento, quer no estudo científico dea SIDA, quer nas compras e ofereças ofertas dos comprimidos, e equipamentos, a acção eficaz dos Governos Nacionais é mais imprescindiível. Para as pessoas afectadas, o acesso a um tratamento significa a possibilidade de viver mais anos, mas também um cargo bem pesado, porque lhe custa muito. Portanto, os governos nacionais parecem salvadores. Eles devem assumir a responsabilidade de prestar uma parte da renda nacional, uma grande quantidade de dinheiro ao tratamento e o avanço de tratamento, que beneficiam não só as do pessoas afectadas, mas também os saudáveis neste momento.
Com o esforço dos Governos Nacionais, é acredito que a actualidade será melhor e venceremos, no futuro, o combate contra a SIDA.
"	4	_	opinion	18	Chinese	Chinese	280	Society economy and politics	FT
zh064CAETF	E-mail to obtain more information regarding a job application	"vertentehumana@sapo.pt
anúncio de emprego no dia 22 de Maio
Exel. Ser./Sra,
O anúncio de emprego no dia 22 de Maio no Jornal Commeércio aparece-me muito interessante porque eu sou  professora de chinêsa que mora em Lisboa e temnho muitas experieências de ensinar chinês para alunos portugueses e de ser tradutora. Eu posso falar e escrever Inglês muito bem e gostaro de aproveitar as novas tecnologias, computadores e jogos. Além disso, posso trabalhar ao fim de semana especialmente. Acho que sou óptimoa para esta posição e vou ser uma boa emprega na funcionária da sua empresa. Mas faça o favor de me dizer-me se posisívelmente, o horário de trabalho, o vencimento e a experiência necessaária porque queria saber mais informações sobre a sua empresa e não queria perder esta oportunidade tão especial para mim. Muito obrigada e bom dia!
Até logo,
FF.
"	2	English	eMail	6	Chinese	Chinese	137	Daily life	FT
ro005CVATF	Happiness is easier for those who don't create a great deal of problems	"Neste artigo, ao ironizar as políticas de felicidade promovidas pelos políticos de vários países, Pedro Lomba expressa a sua dúvida enquanto à capacidade de ser felizes das pessoas que refleitam em excesso. Duma forma subtil - porque uma pessoa que problematiza deve ser uma pessoa inteligente, não? - o autor alude ao famoso preconceito segundo o qual ""só os estúpidos podem ser felizes"".
Embora possa admitir que haja excepções a esta regra, concordo em geral com o autor do artigo.
O problema fundamental é a complexidade da mente humana, porque a felicidade não significa a mesma coisa para todas as pessoas.
Isto tem que ver, antes que nada, com a pirâmide das necessidades. Para quem viver num pais pobre da África, a felicidade será ter comido todos os dias. Para quem viver a pão e água num pais desenvolvido, a felicidade será ter um bom trabalho e poder comprar tudo o que  quiser. Para quem tiver satisfeito as necessidades de base, a felicidade será o amor ou os aspectos intelectuais/espirituais. A lista pode continuar até auo infinito.
Além disso, a felicidade está estreitamente ligada ao nível de inteligênicia das pessoas. Quanto mais inteligentes e instruidas sejam estas, mais complexas e imateriais serão as suas necessidades e, por consequência, a felicidade será mais difícil de atingir. Eu conheço, por exemplo, pessoas que estão felizes com uma comida exquisita num bom restaurante ou com um dia de descanço na praia. Também conheço pessoas eternamente insatisfeitas, que querem sempre aquilo que não têm e , depois de o terem obtido, querem sempre mais e mais. Estas seriam as pe Não estou a falar necessariamente de coisas materiais, pode ser o caso de uma viagem, de um amor, do desenvolvimento pessoal etc. Estas seriam as pessoas que problematizam demasiado.
Diz-se frequentemente que a felicidade está na simplicidade. Mesmo que muitas vezes a simplicidade seja sinónima de estupidez, pode ser também o resultado de um nível superior de inteligência. Mas é uma coisa muito rara, e por isso há muito mais pessoas inteligentes e infelizes do que pessoas inteligentes e felizes.
"	4	English	opinion	24	Romanian	Romanian	341	Culture and philosophy	FT
nl045CVITI	Describe the person in the picture	" A menina entre Harry Potter e Ron Wemel chama-se Evelyn. Ele tem vinte anos. A sua nacionalidade é ingluesa de Londre. 
A Ssua profissão é estudentae de theatre. O seu estado civil é solteiro. 
O seu numero de telefone é: 0123456789 Ele mora numa casa grande com cinco quartos, uma cozinha, dua duas casas de banho, uma sala e uma balcão. Finalmente, ea sua famaília tem quatro membros: a sua mãe, o seu pai e seu irmão. 
"	1	English	informative	0	Dutch	Dutch 	76	Identification, charaterization and description of people and objects	IT
nl042CAITI2	Present yourself and someone else	" Boa Tarde, 
chamo-me MM Tenho 25 anos. mMoro em Eindhoven, mas estou em Lisboa agora. 
Tenho uma irmã e dois irmãos. A minha irmã chama-se FF. Os meus irmãos chama-m-se MM e MM. 
O FF tens 22 anos. O MM tens 278 anos e o MM tens 20 anos. 
Gosto muito deos meus irmãos. 
Os meus pais são divorciade. A minha mãe chama-se FF e o meu pãe chama-se MM. 
os meus amigos visitam Lisboa em Julho. Fazam Conduzim da Holanda para Portugal com o carro. Olho Lisboa com os meus amigos. 
gosto de batata com maionese e par peixe com limão para a jantar. 
Não gosto de frango frito ou arroz. 
vou a Bairro Alto sem em proximo fim-de-semana. Esta fim-de-semana vou a Albufeira. 
Normalmente levantar-me às 8h00 e deito-me às 23h00. Como leite com muesli para ao pequeno-almoço e pão ao almoço. 
Muito obrigado para aprender ensinar português. 
MM 
"	1	English	informative	0	Dutch	Dutch 	145	Identification, characterization and description of people and objects	IT
it100CSETI	email about holidays	"Olá, FF!
Acho chqe estaás muito curiosa de por em saber o que é que passa aqui em Lisboa. se gosto da cidade. se gosto de Lisboa. A cidade é maravilhosa e as pessoas tambeém; fiquei encantada desde o primeiro instante. O meu pri O Pprimeiro dia foi memorável: o sol breilhava, não havia nuvens e eu estava muito felíiz. No Fui á praia mesmo dia Foui á à praia de Cascais, Aquele dia estava muitas pessoas onde havia muitas pessoas que estavam a jogar a fazer volei de Ppraia e eu perguntouei-lhes de jog se podia jogar; Desde aquiele dia vou á à praia todos os fim de sema saábados, porquée haá sempre pessoas com quem jogar.
No dia segui Gosto muito do quarto em quem moro e as minhas colegas são muito simpáticas; Gosto da Universidade tambeém, mas o primeiro dia de Esco foi difícil; não percebia nada porque falavam depressa. Agora percebo, mas ainda não consigo falar, acho que s espero que vou aprender em breve.
Tenho de ir às aulas agora, beijinhos, beijinhos, FF.
"	2	English	eMail	_	Italian	Italian	133	Travel	IT
